No,Text,Score,Sistem,Sentimen
192,seperti diketahui saat ini telah ada provinsi dan kabupaten kota yang menerapkan psbb dari sejumlah wilayah,-1,negatif,netral
193,karena itu dia meminta evaluasi secara detail mengenai pelaksanaan psbb secara keseluruhan,-2,negatif,netral
194,dia meminta agar dihitung terlebih dahulu dengan matang jokowi tak ingin pelonggaran psbb justru malah berdampak,0,netral,netral
195,presiden joko widodo atau jokowi meminta agar pelonggaran pembatasan sosial berskala besar psbb harus hati hati ada,0,positif,netral
196,perhatikan instruksi jokowi meminta pelonggaran psbb harus hati hati dan tidak tergesa gesa,0,netral,netral
197,walaupun psbb seribu tahun bila masih bodoh apa gunanya,-1,netral,negatif
198,pelanggar aturan psbb di depok terancam denda hingga rp,0,netral,netral
199,pkl di pasar manggis kena razia psbb kursi diangkut hingga disuruh pushup,0,netral,netral
200,belum pernah ke passer baroe djakarta,0,netral,netral
201,mau pulang lupa lagi psbb,-1,negatif,netral
202,lima wilayah di riau mengikuti jejak kota pekanbaru yang lebih dulu menerapkan psbb,0,netral,netral
203,kalau memang pembeli ya bubarin dong kan sekarang lagi berlaku aturan psbb terus kasih sanksi sesuai pasal yang berlaku,0,netral,positif
204,selama ini daerah rumah aku memang di psbb alias pekanbaru sekitar bukit barisan,-1,negatif,netral
205,memang anda sekolah psbb,0,netral,netral
206,mimpi tidur siang kali ini adalah nikah pakai pedang pora tanpa tau perempuannya siapa kemudian ketangkep satpol pp,-1,negatif,netral
207,lama lama rilis series animasi juga nih kalau psbb makin panjang film nanti saja,0,netral,negatif
208,jalan ada tutup karena psbb tapi ada ujung jalan yang ada tutup dipakai jualan terus ramai sama yang beli,-3,negatif,negatif
209,selama penerapan psbb pemprov dki dianggap tak cukup disiplin dalam melakukan penegakan,0,netral,negatif
210,tak bisa polemik lagi media sudah dipenuhi corona dan kisruh bansos mau demo melanggar psbb dan larangan berkerum,-2,negatif,negatif
211,kontribusi pulau jawa itu memegang persen kasus di pulau jawa saja meninggalnya persen sembuhnya persen,1,positif,netral
212,yang lain pada sibuk bansos saya disini sama sekali tidak ke bagian bansos selama sekolah libur saya tidak bisa mencari nafkah,-1,negatif,negatif
213,di rumah masing masing lah tidak tau apa lagi psbb,-1,negatif,netral
214,mau menuju jalan yang benar tapi jalannya di tutup psbb yaudah tidak jadi,-2,negatif,negatif
215,semoga pemerintah besok cabut psbb langsung kerja pirang,0,netral,netral
216,pssb jabar dinilai berhasil,-1,negatif,positif
217,yang penting jaga jarak dulu biar psbb cepat berlalu,1,positif,positif
218,mau muter bogor psbb makin ketat ya sudah begitu sim aku habis,-1,negatif,netral
219,psbb peraturan sementara bangsat sekali benci,-1,negatif,negatif
220,petugas psbb jaga jalur tikus di perbatasan purwakarta karawang,-1,negatif,netral
221,hukuman diberikan kepada warga yang melanggar psbb di jakarta hampir sama dengan rompi telan uang rakyat,-1,negatif,negatif
222,undang karantina kesahatan jadi siasia karena para wakil partai mensahkan perppu psbb jadi undang mohon maaf an,0,netral,negatif
223,psbb tak efektif ekonomi rakyat malah hancur mari berdamai dengan corona,-1,negatif,negatif
224,terawan setujui psbb wilayah di riau,0,netral,positif
225,psbb surabaya gagal,-1,negatif,negatif
226,jalan kaki di siang bolongrasanya bahagia setelah bulan di rumah saja lalu lintas pun sudah agak ramai seperti bukan psbb,-4,negatif,negatif
227,psbb jilid sudah di bjm kdd perubahan masyarakatnya masih banyak yang ngeyel kasus covid positif terus tambah,-1,negatif,negatif
228,tak sedikit yang merasa jenuh tapi tentu ada saja yang malah tak mau masa psbb berakhir mengapa demikian,-2,negatif,negatif
229,kayaknya begitu mulai ngantuk tapi masih menunggu palang psbb dibuka baru bisa jalan pulang,0,netral,netral
230,ramai seperti tidak ada psbb saja,-1,negatif,negatif
231,kebanyakan istirahat jadi capek seperti psbb ini,-1,negatif,negatif
232,cek poin jangan bisa sistem piket bang kan jaga cek point tidak sampai ratusan pagi siang sore malam stt,-1,negatif,netral
233,andai tidak psbb,0,netral,netral
234,saya berharap di tengah wabah ini lah rontok tidak becus urus negara kapan nilai rencana pemerintah longgar,-3,negatif,negatif
235,kapan psbb dipekanbaru berakhir,-1,netral,netral
236,maksudnya habis lebaran psbb,0,netral,netral
237,benarkah pemerintah sudah transparan terhadap data corona di negeri ini,0,netral,negatif
238,sabar kak maklum psbb dimana mana,0,netral,netral
239,orang orang ngopi di warung pinggir jalan disemprot sampai warungnya basah semua yang kumpul di mcd sarinah tidak dibubarkan,-2,negatif,negatif
240,makanya jadi memang tidak ada kata psbb yang ada jaga kesehatan,0,netral,negatif
241,rindu hiruk pikuk jakarta sih tapi kalau begini tidak kelar kelar psbb,0,netral,negatif
242,lebaran sekarang psbb bisa ngemil dikamar seharian,0,netral,positif
243,masa pandemi dan psbb ini jangan sampai membuat kita down juga kita harus tetap semangat dan berkarya,0,netral,positif
244,kosong seperti jalan tol lagi psbb,-2,negatif,positif
245,psbb pendapatan sedang babak belur can t agree more,0,netral,negatif
246,bikin ah sudah beres psbb jabar,0,netral,netral
247,waktu itu gerombolan anda umpetin data yang sebenarnya sekarang bingung besok heran lusa kaget dst,0,netral,negatif
248,psbb buat orang halu,0,netral,negatif
249,mantap bapak psbb diperpanjang mantap apa mantap mantap mantap,0,netral,positif
250,bali masyarakatnya lebih patuh dan kompak dibanding kota lain jadi lebih mudah memutus rantai pandemik,-1,negatif,positif
251,lihat orang kumpul di mcd sarinah marah marah tapi begitu psbb dibuka langsung mudik provinsi,-2,negatif,negatif
252,tadi siang kena check point psbb karena duduk sebelahan di mobil sama laki saya dan saya disuruh pindah ke belakang,-1,negatif,netral
253,kemudian dari data yang ada sebenarnya relaksasi itu belum menjadi suatu opsi yang akan diputus dalam waktu dekat,-1,negatif,netral
254,meski psbb masih diterapkan jalan jalan di ibu kota terlihat ramai dengan kendaraan bermotor jalan jenderal sudirman,-4,negatif,negatif
255,kalau mau jujur yang seperti kemarin di mcd sarinah dan yang seperti begini wajib dikerasi dibubarin paksa ini,0,netral,negatif
256,malang psbb ketemu pacar setahun kemudian,0,netral,negatif
257,kabupaten karawang menjadi wilayah dengan angka kerumunan dibubarkan paling banyak,-1,netral,negatif
258,tutup bang kan psbb,0,netral,netral
259,hukuman diberikan kepada warga yang melanggar psbb di jakarta,-1,negatif,netral
260,apalagi corona begini psbb juga tidak bisa bayangkan,0,netral,negatif
261,ya memang sudah direncanakan tetap akan banyak yang mudik darimana pemasukan tol kalau bukan moment lbran ini,-1,negatif,netral
262,rip psbb tambah panjang lockdown,0,netral,negatif
263,dibikin halu nyiapin buat ketemu keluarga secara langsung padahal ada larangan mudik dan psbb,-2,negatif,netral
264,psbb dilonggarkan jika kurva corona melandai dalam hari,0,netral,netral
265,aku buat tunggu psbb selesai di jabar,1,netral,netral
266,padahal yang ngeyel psbb kan kota ya,0,netral,negatif
267,achievement during psbb,0,netral,positif
268,sampai lupa kalau lagi psbb soalnya tiap sore kalau keluar jalan ramainya bukan main,-5,negatif,negatif
269,lagi psbb tidak bisa kalau kamu ke rumah tidak apa apa,-1,negatif,netral
270,tempat pelarian ketika sih bucin ini gundah gulana sendirian juga dijabanin sayang saja sekarang lagi psbb,1,positif,netral
271,jalan jalan sendiri menikmati indahnya psbb karena jalanan lempang selempang lempangnya,-1,negatif,positif
272,penerapan psbb berhasil menurunkan jumlah angka kasus,0,netral,positif
273,alasan psbb menjadikan mangkir dari panggilan hukum psbb tidak melarang untuk berpergian,-1,netral,negatif
274,seperti bikin tugas kelompok orang ngerjain sisanya wallahu alam begitu juga psbb,0,netral,netral
275,psbb ayo puter balik,1,positif,netral
276,meributkan meminta lockdown tapi terus terang tidak ada yang dilakukannya untuk pencegahan covit selama psbb,0,netral,negatif
277,jangan numpang menumpang lagi psbb,0,netral,netral
278,tidak boleh ramai kan psbb,-1,netral,netral
279,bali luar biasa tidak seperti jakarta propinsi bali berhasil meminimalisir penyebaran corona tanpa memberlakukan psbb,0,netral,positif
280,itu peraturan kalau psbb ya,0,netral,netral
281,psbb tidak boleh piknik anda kali yang kurang vitamin,-1,netral,negatif
282,karena mereka mau psbb,0,netral,netral
283,contoh beberapa minggu yang lalu ada yang taat tidak keluar rumah tapi ada yang tidak masih ingin keluar masih sama saja bohong,-1,netral,negatif
284,ya sudah jangan diperpanjang sama saja psbb atau tidak juga ,0,netral,negatif
285,selain denda juga bisa sanksi sebagai pekerja sosial di fasilitas umum,0,positif,netral
286,kan kotanya yang psbb kak,0,netral,netral
287,ini psbb berpengaruh ke logistics juga ya beli barang kenapa tidak sampai sampai,1,positif,negatif
288,kebijakan suka hati plaksanaan stengah hati sudah begitu psbb bakal ada relaksasi ambyar sudah,0,netral,negatif
289,tau ini sudah psbb mati lampu pula,-1,negatif,negatif
290,di pantai tidak ada orang jadi aman ada pos psbb,0,netral,positif
291,kesal tidak tiap hari cuma rebahan buka sosmed isinya begitu begitu saja bosen mau keluar ya psbb mau pulang ya,-2,negatif,negatif
292,selama masa psbb kurva kasus corona di depok menurun,0,netral,positif
293,sama sekali kesal sudah lihat instastory beberapa teman kelas yang malah bukber bangkai membusuk psbb merekanya ngeyel begitu tidak akan habis itu corona,-2,negatif,negatif
294,malaysia punya ukuran compliance soal psbb kita tidak punya,0,netral,negatif
295,memang kalau psbb kamu juga tidak boleh main ke mimpiku,-1,netral,netral
296,pacaran ala psbb sayang tidak boleh ke tempat ramai bagaimana kalau kita ngeroom saja,0,positif,netral
297,boro boro semangat pak gara gara psbb kiloan turun kg garagara stres teu boga duit,-1,negatif,negatif
298,di kota saya baru disetujuin psbb sama menkes,0,netral,netral
299,dari awal lockdown harusnya pak jokowi bingung sudah psbb tapi yang positif korona makin bertambah,0,netral,negatif
300,pas sudah hampir mau lebaran malah psbb kenapa tidak awalawal puasaan kemarin saja kampret,-1,negatif,negatif
301,walaupun psbb sejuta tahun kalau sifatmu tak berubah apa guna nya,-1,netral,negatif
302,psbb masih ada angkot bang,0,netral,netral
303,psbb memutuskan penyebaran corona malah memperburuk ekonomi yang bisa memutuskan virus itu secepat nya ilmuwan menemukan vaksin yang tepat,-3,negatif,negatif
304,keponakanku yang kubilang karena psbb tidak bisa ketemu,0,netral,negatif
305,aku tanya bukan case karena ada pandemi ini sih secara umum saja well aku tidak digaji selama psbb,-2,negatif,negatif
306,selama psbb membuat kita jarang bergerak dan badan jadi kaku saya punya solusinya mari saya pijat tapi ingat ini,-1,negatif,netral
307,tapi di jaman batu ada psbb juga tidak seperti jaman sekarang,0,netral,netral
308,walaupun psbb seribu tahun kalau masih bodoh apa gunanya,-1,netral,negatif
